observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation
Naive		model1_data1	0	2		290	lin
Naive		model1_data1	0	4		290	lin
Naive		model1_data1	0	6		64	lin
EarlyEffector		model1_data1	386	4		266	lin
EarlyEffector		model1_data1	3359	5		1540	lin
EarlyEffector		model1_data1	3359	6		1540	lin
EarlyEffector		model1_data1	3359	7		1540	lin
EarlyEffector		model1_data1	1172	8		526	lin
EarlyEffector		model1_data1	3359	9		1540	lin
EarlyEffector		model1_data1	47470	10		23855	lin
EarlyEffector		model1_data1	3359	11		1540	lin
EarlyEffector		model1_data1	175825	12		19722	lin
EarlyEffector		model1_data1	3359	13		1540	lin
EarlyEffector		model1_data1	3359	14		1540	lin
EarlyEffector		model1_data1	3359	15		1540	lin
EarlyEffector		model1_data1	3359	16		1540	lin
EarlyEffector		model1_data1	3359	17		1540	lin
EarlyEffector		model1_data1	3359	18		1540	lin
EarlyEffector		model1_data1	3359	19		1540	lin
EarlyEffector		model1_data1	4911	20		3048	lin
EarlyEffector		model1_data1	3359	21		1540	lin
EarlyEffector		model1_data1	7417	22		2924	lin
EarlyEffector		model1_data1	3359	23		1540	lin
EarlyEffector		model1_data1	3359	24		1540	lin
EarlyEffector		model1_data1	3359	25		1540	lin
EarlyEffector		model1_data1	3359	26		1540	lin
EarlyEffector		model1_data1	3359	27		1540	lin
EarlyEffector		model1_data1	3359	28		1540	lin
EarlyEffector		model1_data1	3359	29		1540	lin
EarlyEffector		model1_data1	3359	30		1540	lin
LateEffector		model1_data1	4577	4		1976	lin
LateEffector		model1_data1	4577	5		1976	lin
LateEffector		model1_data1	4577	6		1976	lin
LateEffector		model1_data1	4577	7		1976	lin
LateEffector		model1_data1	32860	8		4105	lin
LateEffector		model1_data1	4577	9		1976	lin
LateEffector		model1_data1	4577	10		1976	lin
LateEffector		model1_data1	4577	11		1976	lin
LateEffector		model1_data1	4577	12		1976	lin
LateEffector		model1_data1	46727	13		23601	lin
LateEffector		model1_data1	4577	14		1976	lin
LateEffector		model1_data1	27586	15		6841	lin
LateEffector		model1_data1	4577	16		1976	lin
LateEffector		model1_data1	4577	17		1976	lin
LateEffector		model1_data1	4577	18		1976	lin
LateEffector		model1_data1	4577	19		1976	lin
LateEffector		model1_data1	4577	20		1976	lin
LateEffector		model1_data1	4577	21		1976	lin
LateEffector		model1_data1	13650	22		7266	lin
LateEffector		model1_data1	4577	23		1976	lin
LateEffector		model1_data1	4577	24		1976	lin
LateEffector		model1_data1	4577	25		1976	lin
LateEffector		model1_data1	4577	26		1976	lin
LateEffector		model1_data1	4577	27		1976	lin
LateEffector		model1_data1	3936	28		2705	lin
LateEffector		model1_data1	4577	29		1976	lin
LateEffector		model1_data1	4577	30		1976	lin
Memory		model1_data1	289	8		80	lin
Memory		model1_data1	9564	13		4206	lin
Memory		model1_data1	15631	15		5745	lin
Memory		model1_data1	41744	22		15987	lin
Memory		model1_data1	32705	28		7909	lin
